,name,nationality,team,positions,age,overall,potential,contract,contract_start,contract_end,contract_length,height,weight,foot,value,wage,attacking,skill,movement,power,mentality,defending,goalkeeping,total
12,Alisson,Brazil,Liverpool,GK,28,89,90,2018 ~ 2027,2018,2027,9,191,91,Right,82000000.0,190000.0,134,160,267,239,140,50,435,1425
13,J. Kimmich,Germany,FC Bayern München,CDM RB,26,89,90,2015 ~ 2025,2015,2025,10,177,75,Right,108000000.0,160000.0,387,408,398,403,382,249,60,2287
14,Ederson,Brazil,Manchester City,GK,27,89,91,2017 ~ 2026,2017,2026,9,188,86,Left,94000000.0,200000.0,127,164,323,273,206,52,438,1583
15,S. Mané,Senegal,Liverpool,LW,29,89,89,2016 ~ 2023,2016,2023,7,175,69,Right,101000000.0,270000.0,407,386,454,405,359,122,56,2189
16,V. van Dijk,Netherlands,Liverpool,CB,29,89,89,2018 ~ 2025,2018,2025,7,193,92,Right,86000000.0,230000.0,315,362,362,397,347,270,58,2111
17,H. Kane,United Kingdom of Great Britain and Northern Ireland,Tottenham Hotspur,ST,27,89,89,2010 ~ 2024,2010,2024,14,188,89,Right,112000000.0,230000.0,430,400,368,421,396,124,54,2193
18,Casemiro,Brazil,Real Madrid CF,CDM,29,89,89,2013 ~ 2025,2013,2025,12,185,84,Right,88000000.0,310000.0,347,368,343,435,399,260,67,2219
19,H. Son,Korea Republic,Tottenham Hotspur,LW LM ST,28,89,89,2015 ~ 2025,2015,2025,10,183,78,Right,104000000.0,240000.0,401,404,430,389,349,114,53,2140
20,T. Courtois,Belgium,Real Madrid CF,GK,29,89,91,2018 ~ 2026,2018,2026,8,199,96,Left,85500000.0,250000.0,86,110,285,249,122,54,421,1327
21,Rúben Dias,Portugal,Manchester City,CB,24,88,91,2020 ~ 2027,2020,2027,7,187,82,Right,111500000.0,210000.0,284,308,332,350,312,264,47,1897
22,E. Haaland,Norway,Borussia Dortmund,ST,20,88,94,2020 ~ 2024,2020,2024,4,194,94,Left,143500000.0,110000.0,381,353,412,430,366,126,52,2120
23,L. Goretzka,Germany,FC Bayern München,CM CDM,26,88,89,2018 ~ 2026,2018,2026,8,189,82,Right,107000000.0,165000.0,400,407,397,424,397,237,56,2318
24,Marquinhos,Brazil,Paris Saint-Germain,CB,27,88,91,2013 ~ 2024,2013,2024,11,183,75,Right,103500000.0,160000.0,334,323,386,363,368,268,47,2089
25,K. Navas,Costa Rica,Paris Saint-Germain,GK,34,88,88,2019 ~ 2024,2019,2024,5,185,80,Right,15500000.0,130000.0,88,127,313,257,163,56,424,1428
26,M. ter Stegen,Germany,FC Barcelona,GK,29,88,90,2014 ~ 2025,2014,2025,11,187,85,Right,75500000.0,230000.0,118,144,262,267,171,48,433,1443
27,T. Kroos,Germany,Real Madrid CF,CM,31,88,88,2014 ~ 2023,2014,2023,9,183,76,Right,75000000.0,310000.0,398,431,331,354,379,204,51,2148
28,Rodri,Spain,Manchester City,CDM,25,87,89,2019 ~ 2024,2019,2024,5,191,82,Right,90000000.0,190000.0,350,364,334,413,367,248,49,2125
29,T. Alexander,United Kingdom of Great Britain and Northern Ireland,Liverpool,RB,22,87,90,2015 ~ 2025,2015,2025,10,180,69,Right,102500000.0,150000.0,373,427,386,376,379,240,56,2237
30,F. de Jong,Netherlands,FC Barcelona,CM CDM CB,24,87,92,2019 ~ 2026,2019,2026,7,180,74,Right,119500000.0,210000.0,383,412,417,374,373,229,49,2237
31,A. Robertson,Scotland,Liverpool,LB,27,87,88,2017 ~ 2026,2017,2026,9,178,64,Left,83500000.0,175000.0,324,393,405,363,380,248,50,2163
32,Bruno Fernandes,Portugal,Manchester United,CAM,26,87,88,2020 ~ 2025,2020,2025,5,179,69,Right,94000000.0,210000.0,411,425,400,410,413,207,63,2329
33,P. Dybala,Argentina,Juventus,CF RW,27,87,87,2015 ~ 2022,2015,2022,7,177,75,Left,86500000.0,160000.0,401,440,429,376,342,112,26,2126
34,João Cancelo,Portugal,Manchester City,LB RB,27,87,88,2019 ~ 2027,2019,2027,8,182,74,Right,83500000.0,200000.0,379,406,413,383,372,244,58,2255
35,Fabinho,Brazil,Liverpool,CDM CB,27,87,88,2018 ~ 2026,2018,2026,8,188,78,Right,81500000.0,175000.0,344,365,347,395,409,260,47,2167
36,R. Sterling,United Kingdom of Great Britain and Northern Ireland,Manchester City,LW RW,26,87,87,2015 ~ 2023,2015,2023,8,170,69,Right,87000000.0,240000.0,357,392,460,359,332,147,63,2110
37,M. Verratti,Italy,Paris Saint-Germain,CM CAM,28,87,87,2012 ~ 2024,2012,2024,12,165,60,Right,79500000.0,155000.0,353,421,400,315,405,244,64,2202
38,De Gea,Spain,Manchester United,GK,30,87,87,2011 ~ 2023,2011,2023,12,192,76,Right,53000000.0,150000.0,114,139,310,234,170,59,416,1442
39,R. Lukaku,Belgium,Chelsea,ST,28,87,87,2021 ~ 2026,2021,2026,5,191,94,Left,81500000.0,220000.0,406,373,366,403,349,101,54,2052
40,T. Müller,Germany,FC Bayern München,CAM RM CF,31,87,87,2008 ~ 2023,2008,2023,15,185,76,Right,66000000.0,140000.0,423,380,371,389,372,150,52,2137
41,L. Modrić,Croatia,Real Madrid CF,CM,35,87,87,2012 ~ 2022,2012,2022,10,172,66,Right,32000000.0,190000.0,380,427,417,369,392,216,52,2253
42,L. Suárez,Uruguay,Atlético de Madrid,ST,34,87,87,2020 ~ 2022,2020,2022,2,182,86,Right,39000000.0,115000.0,424,411,384,403,384,125,153,2284
43,H. Lloris,France,Tottenham Hotspur,GK,34,87,87,2012 ~ 2022,2012,2022,10,188,82,Left,13500000.0,125000.0,90,108,317,221,156,54,408,1354
44,É. Mendy,Senegal,Chelsea,GK,29,86,87,2020 ~ 2025,2020,2025,5,197,86,Right,52000000.0,140000.0,78,117,238,218,104,34,422,1211
45,M. Škriniar,Slovakia,Inter,CB,26,86,87,2017 ~ 2023,2017,2023,6,188,80,Right,70000000.0,150000.0,275,252,356,329,302,260,55,1829
46,L. Sané,Germany,FC Bayern München,LM RM CF,25,86,87,2020 ~ 2025,2020,2025,5,183,80,Left,81000000.0,120000.0,406,411,431,375,337,103,52,2115
47,Bernardo Silva,Portugal,Manchester City,CAM CM RW,26,86,87,2017 ~ 2025,2017,2025,8,173,64,Left,80000000.0,200000.0,378,411,430,353,371,183,54,2180
48,A. Laporte,Spain,Manchester City,CB,27,86,88,2018 ~ 2025,2018,2025,7,191,85,Left,72500000.0,185000.0,310,352,330,351,331,259,45,1978
49,J. Vardy,United Kingdom of Great Britain and Northern Ireland,Leicester City,ST,34,86,86,2012 ~ 2023,2012,2023,11,179,74,Right,33000000.0,180000.0,394,351,411,377,384,151,62,2130
50,Gerard Moreno,Spain,Villarreal CF,ST RM,29,86,86,2018 ~ 2027,2018,2027,9,180,77,Left,68000000.0,73000.0,410,383,394,396,353,126,56,2118
51,S. Gnabry,Germany,FC Bayern München,RM LM RW,25,86,86,2017 ~ 2023,2017,2023,6,176,77,Right,75500000.0,120000.0,373,385,419,382,338,132,50,2079
52,R. Mahrez,Algeria,Manchester City,RW RM,30,86,86,2018 ~ 2023,2018,2023,5,179,67,Left,65500000.0,220000.0,380,419,426,355,333,98,54,2065
53,M. Depay,Netherlands,FC Barcelona,CF LW CAM,27,86,86,2021 ~ 2023,2021,2023,2,176,78,Right,73500000.0,240000.0,388,419,412,401,347,74,50,2091
54,K. Koulibaly,Senegal,Napoli,CB,30,86,86,2014 ~ 2023,2014,2023,9,187,89,Right,55500000.0,105000.0,213,253,333,316,288,265,43,1711
55,L. Insigne,Italy,Napoli,LW CF LM,30,86,86,2010 ~ 2022,2010,2022,12,163,59,Right,65500000.0,125000.0,375,442,435,316,317,99,45,2029
56,P. Pogba,France,Manchester United,CM LM CDM,28,86,86,2016 ~ 2022,2016,2022,6,191,84,Right,68000000.0,200000.0,397,437,362,419,393,189,20,2217
57,C. Immobile,Italy,Lazio,ST,31,86,86,2016 ~ 2025,2016,2025,9,185,85,Right,57500000.0,115000.0,391,334,417,400,362,99,47,2050
58,Parejo,Spain,Villarreal CF,CM,32,86,86,2020 ~ 2024,2020,2024,4,182,74,Right,53500000.0,64000.0,394,436,316,366,398,209,48,2167
59,Thiago,Spain,Liverpool,CM CDM,30,86,86,2020 ~ 2024,2020,2024,4,174,70,Right,65000000.0,180000.0,372,432,390,362,392,210,46,2204
60,W. Szczęsny,Poland,Juventus,GK,31,86,86,2017 ~ 2024,2017,2024,7,195,90,Right,36000000.0,100000.0,86,99,286,250,135,45,413,1314
61,Á. Di María,Argentina,Paris Saint-Germain,RW LW,33,86,86,2015 ~ 2022,2015,2022,7,180,69,Left,42500000.0,150000.0,378,435,420,379,360,148,51,2171
62,Sergio Ramos,Spain,Paris Saint-Germain,CB,35,86,86,2021 ~ 2023,2021,2023,2,184,82,Right,18000000.0,89000.0,372,377,358,386,410,256,46,2205
63,G. Chiellini,Italy,Juventus,CB,36,86,86,2005 ~ 2023,2005,2023,18,187,85,Left,12000000.0,88000.0,283,272,325,378,305,270,15,1848
64,M. de Ligt,Netherlands,Juventus,CB,21,85,90,2019 ~ 2024,2019,2024,5,189,89,Right,75000000.0,81000.0,307,308,356,409,293,255,56,1984
65,A. Hakimi,Morocco,Paris Saint-Germain,RB RWB,22,85,89,2021 ~ 2026,2021,2026,5,181,73,Right,73000000.0,100000.0,384,388,435,400,370,229,46,2252
66,J. Sancho,United Kingdom of Great Britain and Northern Ireland,Manchester United,LM RM,21,85,89,2021 ~ 2026,2021,2026,5,180,76,Right,78500000.0,130000.0,368,399,425,326,323,103,52,1996
67,C. Nkunku,France,RB Leipzig,CAM ST CF,23,85,88,2019 ~ 2024,2019,2024,5,175,73,Right,73500000.0,100000.0,374,416,440,353,361,211,43,2198
68,L. Martínez,Argentina,Inter,ST,23,85,89,2018 ~ 2026,2018,2026,8,174,72,Right,78000000.0,145000.0,394,362,433,406,372,130,48,2145
69,Oyarzabal,Spain,Real Sociedad,LW RW,24,85,89,2014 ~ 2024,2014,2024,10,181,79,Left,77500000.0,57000.0,384,396,408,372,335,117,50,2062
70,Marcos Llorente,Spain,Atlético de Madrid,CM RM RB,26,85,86,2019 ~ 2027,2019,2027,8,184,74,Right,63000000.0,89000.0,372,381,410,398,398,232,51,2242
71,N. Barella,Italy,Inter,CM,24,85,89,2020 ~ 2024,2020,2024,4,172,68,Right,77000000.0,130000.0,356,391,427,384,407,229,54,2248
72,S. Milinković,Serbia,Lazio,CM CDM CAM,26,85,86,2015 ~ 2024,2015,2024,9,191,76,Right,63000000.0,100000.0,389,413,344,426,374,231,47,2224
73,N. Fekir,France,Real Betis Balompié,CAM RM ST,27,85,85,2019 ~ 2026,2019,2026,7,173,75,Left,57500000.0,46000.0,374,415,424,393,353,106,61,2126
74,M. Maignan,France,AC Milan,GK,25,85,90,2021 ~ 2026,2021,2026,5,191,89,Right,63000000.0,49000.0,121,162,284,275,146,58,423,1469
75,K. Coman,France,FC Bayern München,LM RM LW,25,85,86,2015 ~ 2027,2015,2027,12,179,75,Right,64500000.0,110000.0,372,402,445,362,293,77,21,1972
76,Jorginho,Italy,Chelsea,CM,29,85,85,2018 ~ 2023,2018,2023,5,180,68,Right,52500000.0,170000.0,358,406,342,344,408,219,56,2133
77,A. Rüdiger,Germany,Chelsea,CB,28,85,86,2017 ~ 2022,2017,2022,5,190,85,Right,51000000.0,155000.0,298,310,340,371,320,256,59,1954
78,Carvajal,Spain,Real Madrid CF,RB,29,85,85,2013 ~ 2025,2013,2025,12,173,73,Right,47500000.0,210000.0,337,358,401,355,359,248,65,2123
79,Roberto Firmino,Brazil,Liverpool,CF,29,85,85,2015 ~ 2023,2015,2023,8,181,76,Right,54000000.0,185000.0,393,397,409,397,370,161,44,2171
80,R. Varane,France,Manchester United,CB,28,85,87,2021 ~ 2025,2021,2025,4,191,81,Right,54500000.0,170000.0,294,308,347,344,322,257,50,1922
81,S. de Vrij,Netherlands,Inter,CB,29,85,85,2018 ~ 2023,2018,2023,5,189,78,Right,45000000.0,145000.0,260,273,345,363,306,261,52,1860
82,D. Alaba,Austria,Real Madrid CF,CB LB,29,85,85,2021 ~ 2026,2021,2026,5,180,78,Left,45000000.0,210000.0,375,404,399,393,391,254,50,2266
83,A. Griezmann,France,Atlético de Madrid,ST RW CF,30,85,85,"Jun 30, 2022 On Loan",0,0,0,176,73,Left,53000000.0,220000.0,420,427,425,404,375,146,63,2260
84,Koke,Spain,Atlético de Madrid,CM CDM,29,85,85,2011 ~ 2024,2011,2024,13,176,77,Right,52500000.0,90000.0,357,408,383,385,394,233,54,2214
85,K. Casteels,Belgium,VfL Wolfsburg,GK,29,85,86,2015 ~ 2024,2015,2024,9,197,86,Left,41500000.0,81000.0,92,107,264,251,126,47,415,1302
86,K. Walker,United Kingdom of Great Britain and Northern Ireland,Manchester City,RB,31,85,85,2017 ~ 2024,2017,2024,7,183,83,Right,39000000.0,170000.0,339,388,402,404,364,243,57,2197
87,M. Reus,Germany,Borussia Dortmund,CAM CF,32,85,85,2012 ~ 2023,2012,2023,11,180,71,Right,43000000.0,95000.0,384,423,396,373,348,159,61,2144
88,İ. Gündoğan,Germany,Manchester City,CM CDM,30,85,85,2016 ~ 2023,2016,2023,7,180,80,Right,51500000.0,185000.0,372,426,371,368,397,218,48,2200
89,P. Gulácsi,Hungary,RB Leipzig,GK,31,85,85,2015 ~ 2025,2015,2025,10,191,86,Right,28500000.0,87000.0,94,104,250,247,136,61,413,1305
90,L. Bonucci,Italy,Juventus,CB,34,85,85,2018 ~ 2024,2018,2024,6,190,85,Right,17500000.0,110000.0,314,345,320,380,351,254,13,1977
91,Y. Sommer,Switzerland,Borussia Mönchengladbach,GK,32,85,85,2014 ~ 2023,2014,2023,9,183,79,Right,26500000.0,40000.0,84,96,297,260,162,40,414,1353
92,David Silva,Spain,Real Sociedad,CAM CM,35,85,85,2020 ~ 2022,2020,2022,2,173,67,Left,22000000.0,44000.0,380,418,383,317,357,140,46,2041
93,Thiago Silva,Brazil,Chelsea,CB,36,85,85,2020 ~ 2023,2020,2023,3,183,79,Right,9500000.0,105000.0,322,351,322,374,354,258,45,2026
94,S. Handanovič,Slovenia,Inter,GK,36,85,85,2012 ~ 2022,2012,2022,10,193,92,Right,6000000.0,72000.0,86,113,257,256,123,48,403,1286
95,Vinícius Jr.,Brazil,Real Madrid CF,LW,20,84,91,2018 ~ 2025,2018,2025,7,176,73,Right,83500000.0,165000.0,350,390,446,369,304,75,36,1970
96,P. Foden,United Kingdom of Great Britain and Northern Ireland,Manchester City,LW CAM CM,21,84,92,2016 ~ 2024,2016,2024,8,171,69,Left,94500000.0,140000.0,345,390,433,335,354,164,52,2073
97,F. Chiesa,Italy,Juventus,RW LW RM,23,84,90,"Jun 1, 2022 On Loan",0,0,0,175,70,Right,66500000.0,81000.0,363,373,437,379,322,153,37,2064
98,K. Havertz,Germany,Chelsea,CAM CF ST,22,84,91,2020 ~ 2025,2020,2025,5,189,82,Left,85500000.0,130000.0,395,386,399,372,316,123,47,2038
99,A. Davies,Canada,FC Bayern München,LB LM,20,84,89,2019 ~ 2025,2019,2025,6,185,77,Left,58500000.0,70000.0,357,347,445,372,368,230,47,2166
100,T. Hernández,France,AC Milan,LB,23,84,89,2019 ~ 2026,2019,2026,7,184,81,Left,59500000.0,51000.0,372,363,424,394,363,235,43,2194
101,F. Kessié,Côte d'Ivoire,AC Milan,CDM CM,24,84,86,2019 ~ 2022,2019,2022,3,183,88,Right,49500000.0,51000.0,350,346,386,413,406,247,54,2202
102,W. Ndidi,Nigeria,Leicester City,CDM CM,24,84,86,2017 ~ 2024,2017,2024,7,183,74,Right,49500000.0,110000.0,319,344,356,405,359,258,54,2095
103,Diogo Jota,Portugal,Liverpool,CF LW,24,84,89,2020 ~ 2025,2020,2025,5,178,73,Right,64500000.0,145000.0,392,377,428,391,373,155,54,2170
104,M. Acuña,Argentina,Sevilla FC,LB LM,29,84,84,2020 ~ 2024,2020,2024,4,172,69,Left,37000000.0,45000.0,361,416,409,396,402,246,62,2292
105,L. Hernández,France,FC Bayern München,CB LB,25,84,86,2019 ~ 2024,2019,2024,5,184,79,Left,47000000.0,95000.0,334,302,377,353,340,258,49,2013
106,J. Giménez,Uruguay,Atlético de Madrid,CB,26,84,87,2013 ~ 2025,2013,2025,12,185,80,Right,49000000.0,74000.0,267,267,329,356,280,260,52,1811
107,Y. Tielemans,Belgium,Leicester City,CM CDM,24,84,87,2019 ~ 2023,2019,2023,4,176,72,Right,57000000.0,125000.0,390,416,354,394,385,211,50,2200
108,M. Brozović,Croatia,Inter,CDM,28,84,84,2016 ~ 2022,2016,2022,6,181,68,Right,37000000.0,130000.0,361,397,377,395,385,238,50,2203
109,D. Zapata,Colombia,Atalanta,ST,30,84,84,2020 ~ 2023,2020,2023,3,189,88,Right,41500000.0,84000.0,368,327,366,403,319,90,40,1913
110,N. Süle,Germany,FC Bayern München,CB RB,25,84,86,2017 ~ 2022,2017,2022,5,195,99,Right,47000000.0,95000.0,276,247,280,354,307,259,58,1781
111,T. Partey,Ghana,Arsenal,CDM CM,28,84,84,2020 ~ 2024,2020,2024,4,185,77,Right,37000000.0,115000.0,351,391,344,413,369,244,49,2161
112,R. Guerreiro,Portugal,Borussia Dortmund,LB LM,27,84,84,2016 ~ 2023,2016,2023,7,170,71,Left,40500000.0,79000.0,373,427,415,341,343,235,45,2179
113,F. Kostić,Serbia,Eintracht Frankfurt,LM LWB,28,84,84,2019 ~ 2023,2019,2023,4,184,84,Left,42500000.0,52000.0,379,402,408,398,367,209,64,2227
114,Y. Carrasco,Belgium,Atlético de Madrid,LM,27,84,84,2020 ~ 2024,2020,2024,4,185,73,Right,45000000.0,81000.0,364,407,417,378,349,126,49,2090
115,M. Kovačić,Croatia,Chelsea,CM,27,84,85,2019 ~ 2024,2019,2024,5,176,80,Right,48000000.0,150000.0,342,411,397,374,370,216,34,2144
116,J. Grealish,United Kingdom of Great Britain and Northern Ireland,Manchester City,LW LM CAM,25,84,85,2021 ~ 2027,2021,2027,6,180,81,Right,50500000.0,180000.0,348,408,406,336,329,140,51,2018
117,S. Savić,Montenegro,Atlético de Madrid,CB,30,84,84,2015 ~ 2024,2015,2024,9,187,81,Right,34500000.0,74000.0,253,248,319,296,294,259,66,1735
118,E. Martínez,Argentina,Aston Villa,GK,28,84,85,2020 ~ 2027,2020,2027,7,195,88,Right,33500000.0,81000.0,127,141,294,248,170,51,418,1449
119,D. Tadić,Serbia,Ajax,LW CF,32,84,84,2018 ~ 2024,2018,2024,6,181,76,Left,33500000.0,32000.0,403,415,379,383,356,111,61,2108
120,J. Matip,Cameroon,Liverpool,CB,29,84,84,2016 ~ 2024,2016,2024,8,194,90,Right,35500000.0,145000.0,302,306,307,342,332,257,53,1899
121,Iago Aspas,Spain,RC Celta de Vigo,ST RM,33,84,84,2015 ~ 2023,2015,2023,8,176,67,Left,27000000.0,46000.0,410,408,408,356,349,78,62,2071
122,Muniain,Spain,Athletic Club de Bilbao,LM CAM,28,84,84,2009 ~ 2024,2009,2024,15,170,66,Right,42500000.0,49000.0,359,411,427,348,340,151,45,2081
123,Sergio Busquets,Spain,FC Barcelona,CDM CM,32,84,84,2008 ~ 2023,2008,2023,15,189,76,Right,28000000.0,175000.0,328,384,282,326,382,244,48,1994
124,Jordi Alba,Spain,FC Barcelona,LB LM,32,84,84,2012 ~ 2024,2012,2024,12,170,68,Left,29000000.0,175000.0,382,385,419,356,375,231,60,2208
125,K. Trapp,Germany,Eintracht Frankfurt,GK,30,84,84,2019 ~ 2024,2019,2024,5,189,84,Right,28000000.0,37000.0,74,72,255,268,127,39,412,1247
126,K. Trippier,United Kingdom of Great Britain and Northern Ireland,Newcastle United,RB RM,30,84,84,2022 ~ 2024,2022,2024,2,173,71,Right,36500000.0,63000.0,358,406,380,377,375,240,54,2190
127,Fernando,Brazil,Sevilla FC,CDM CM CB,33,84,84,2019 ~ 2024,2019,2024,5,183,76,Right,21000000.0,43000.0,330,346,347,383,359,252,29,2046
128,E. Hazard,Belgium,Real Madrid CF,LW,30,84,84,2019 ~ 2024,2019,2024,5,175,74,Right,40500000.0,220000.0,383,419,423,352,349,83,45,2054
129,E. Džeko,Bosnia and Herzegovina,Inter,ST,35,84,84,2021 ~ 2023,2021,2023,2,193,80,Right,18000000.0,115000.0,393,361,334,388,339,98,63,1976
130,S. Kjær,Denmark,AC Milan,CB,32,84,84,2020 ~ 2024,2020,2024,4,190,86,Right,27500000.0,59000.0,301,314,330,349,317,257,54,1922
131,M. Hummels,Germany,Borussia Dortmund,CB,32,84,84,2019 ~ 2023,2019,2023,4,191,96,Right,27500000.0,79000.0,353,351,314,342,363,261,42,2026
132,D. Mertens,Belgium,Napoli,CF ST CAM,34,84,84,2013 ~ 2022,2013,2022,9,169,61,Right,20500000.0,105000.0,351,412,434,322,340,103,39,2001
133,K. Schmeichel,Denmark,Leicester City,GK,34,84,84,2011 ~ 2023,2011,2023,12,189,89,Right,7000000.0,105000.0,102,126,285,232,153,41,409,1348
134,Piqué,Spain,FC Barcelona,CB,34,84,84,2008 ~ 2024,2008,2024,16,194,85,Right,13500000.0,175000.0,343,324,285,335,371,252,58,1968
135,Jesús Navas,Spain,Sevilla FC,RB RW,35,84,84,2017 ~ 2024,2017,2024,7,172,60,Right,13000000.0,30000.0,384,379,424,328,375,238,55,2183
136,A. Gómez,Argentina,Sevilla FC,CAM LW,33,84,84,2021 ~ 2024,2021,2024,3,167,68,Right,26500000.0,47000.0,353,411,438,344,331,114,46,2037
137,João Félix,Portugal,Atlético de Madrid,CF ST,21,83,91,2019 ~ 2026,2019,2026,7,181,70,Right,82000000.0,61000.0,384,392,421,373,342,107,66,2085
138,M. Diaby,France,Bayer 04 Leverkusen,LM RM,21,83,88,2019 ~ 2025,2019,2025,6,170,68,Left,56000000.0,55000.0,327,359,450,317,319,129,47,1948
139,J. Koundé,France,Sevilla FC,CB RB,22,83,89,2019 ~ 2024,2019,2024,5,181,75,Right,53000000.0,33000.0,283,286,393,331,313,253,56,1915
140,L. Díaz,Colombia,Liverpool,LM LW,24,83,86,2022 ~ 2027,2022,2027,5,180,73,Right,49500000.0,120000.0,363,367,426,389,307,98,64,2014
141,Éder Militão,Brazil,Real Madrid CF,CB,23,83,90,2019 ~ 2025,2019,2025,6,186,78,Right,67500000.0,145000.0,312,319,385,359,349,250,61,2035
142,F. Valverde,Uruguay,Real Madrid CF,CM RW RM,22,83,89,2016 ~ 2027,2016,2027,11,182,78,Right,58000000.0,160000.0,349,381,400,388,377,235,45,2175
143,R. James,United Kingdom of Great Britain and Northern Ireland,Chelsea,RWB RB,21,83,87,2017 ~ 2025,2017,2025,8,178,87,Right,49500000.0,90000.0,365,398,399,391,358,239,51,2201
144,D. Rice,United Kingdom of Great Britain and Northern Ireland,West Ham United,CDM,22,83,88,2016 ~ 2024,2016,2024,8,185,80,Right,51000000.0,76000.0,307,352,335,381,369,246,47,2037
145,Raphinha,Brazil,Leeds United,RM RW,24,83,86,2020 ~ 2024,2020,2024,4,177,68,Left,49500000.0,95000.0,343,399,431,384,363,139,50,2109
146,M. Mount,United Kingdom of Great Britain and Northern Ireland,Chelsea,CAM RW,22,83,89,2016 ~ 2024,2016,2024,8,180,74,Right,58500000.0,120000.0,382,415,390,361,357,152,56,2113
147,M. Rashford,United Kingdom of Great Britain and Northern Ireland,Manchester United,LM ST RM,23,83,87,2014 ~ 2023,2014,2023,9,186,70,Right,52000000.0,125000.0,377,397,420,401,357,116,53,2121
148,O. Dembélé,France,FC Barcelona,RW,24,83,88,2017 ~ 2022,2017,2022,5,178,67,Left,55000000.0,165000.0,353,395,434,336,318,105,49,1990
149,Gabriel Jesus,Brazil,Manchester City,RW ST,24,83,87,2016 ~ 2023,2016,2023,7,175,73,Right,52000000.0,150000.0,390,368,430,389,344,103,48,2072
150,Ronaldo Cabrais,Brazil,Grêmio,CAM RM,29,83,83,2021 ~ 2024,2021,2024,3,177,75,Right,35500000.0,49000.0,380,414,418,385,344,92,65,2098
151,B. Chilwell,United Kingdom of Great Britain and Northern Ireland,Chelsea,LWB LB,24,83,86,2020 ~ 2025,2020,2025,5,180,77,Left,46000000.0,105000.0,356,372,377,364,356,240,48,2113
152,André Silva,Portugal,RB Leipzig,ST,25,83,84,2021 ~ 2026,2021,2026,5,185,84,Right,44000000.0,100000.0,393,342,386,404,380,110,53,2068
153,F. Mendy,France,Real Madrid CF,LB,26,83,86,2019 ~ 2025,2019,2025,6,180,73,Left,43500000.0,170000.0,343,353,424,384,365,238,51,2158
154,P. Kimpembe,France,Paris Saint-Germain,CB,25,83,87,2015 ~ 2024,2015,2024,9,189,80,Left,45500000.0,90000.0,285,298,370,354,337,251,53,1948
155,Merino,Spain,Real Sociedad,CM,25,83,87,2018 ~ 2025,2018,2025,7,189,83,Left,50000000.0,47000.0,379,398,380,406,386,240,57,2246
156,Rúben Neves,Portugal,Wolverhampton Wanderers,CM CDM,24,83,88,2017 ~ 2024,2017,2024,7,180,80,Right,54500000.0,95000.0,366,411,338,381,388,230,56,2170
157,R. Gosens,Germany,Inter,LWB LB LM,26,83,83,"Jun 30, 2022 On Loan",0,0,0,183,76,Left,36000000.0,65000.0,394,366,386,394,353,232,64,2189
158,M. Ødegaard,Norway,Arsenal,CAM CM,22,83,89,2021 ~ 2026,2021,2026,5,178,68,Left,58500000.0,95000.0,370,419,397,334,355,165,62,2102
159,Marco Asensio,Spain,Real Madrid CF,RW LW,25,83,84,2015 ~ 2023,2015,2023,8,182,76,Left,43500000.0,190000.0,375,413,397,368,314,121,50,2038
